d/s=0.500001	
2.1555	1.276
2.1555	1.314
2.1555	1.353
2.1555	1.394
2.1555	1.436
2.1555	1.479
2.1555	1.523
2.1555	1.569
2.1555	1.616
2.1555	1.664
2.1555	1.714
2.1555	1.766
2.1555	1.819
2.1555	1.873
2.1555	1.929
2.1555	1.987
2.1555	2.047
2.1555	2.108
2.1555	2.119
2.1555	2.129
2.1555	2.140
2.1555	2.151
2.1555	2.161
2.1555	2.172
2.1555	2.183
2.1555	2.194
2.1555	2.205
2.1555	2.216
2.1555	2.227
2.1555	2.238
2.1555	2.249
2.1555	2.261
2.1555	2.272
2.1555	2.283
2.1555	2.295
2.1555	2.306
2.1555	2.318
2.1555	2.329
2.1555	2.341
2.1555	2.353
2.1555	2.364
2.1555	2.376
2.1555	2.388
2.1555	2.400
2.1555	2.412
2.1555	2.424
2.1555	2.436
2.1555	2.448
2.1555	2.461
2.1555	2.473
2.1555	2.485
2.1555	2.498
2.1555	2.510
2.1555	2.523
2.1555	2.535
2.1555	2.548
1.7610	2.561
1.7610	2.612
1.7610	2.664
1.7610	2.718
1.7610	2.772
1.7610	2.827
1.7610	2.884
1.7610	2.942
1.7610	3.000
1.7610	3.060
1.7610	3.122
1.7610	3.184
1.7610	3.248
1.7610	3.313
1.7610	3.379
1.6281	3.413
1.4691	3.430
1.4691	3.447
1.4691	3.464
1.4691	3.482
1.4691	3.499
1.4691	3.516
1.4691	3.534
1.4691	3.552
1.4691	3.570
1.4691	3.587
1.4691	3.605
1.4691	3.623
1.4691	3.641
1.4691	3.660
1.4691	3.678
1.4691	3.696
1.4691	3.715
1.4691	3.733
1.4691	3.752
1.4691	3.771
1.4691	3.790
1.4691	3.809
1.4691	3.828
1.4691	3.847
1.4691	3.866
1.4691	3.885
1.4691	3.905
1.4691	3.924
1.4691	3.944
1.4691	3.964
1.4691	3.983


d/s=0.51	
2.1362	0.944
2.1362	0.982
2.1362	1.021
2.1362	1.062
2.1362	1.104
2.1362	1.148
2.1362	1.194
2.1362	1.242
2.1362	1.292
2.1362	1.343
2.1362	1.397
2.1362	1.453
2.1362	1.511
2.1362	1.572
2.1362	1.635
2.1362	1.700
2.1362	1.768
2.1362	1.839
2.1362	1.912
2.1362	1.922
2.1362	1.931
2.1362	1.941
2.1362	1.951
2.1362	1.960
2.1362	1.970
2.1362	1.980
2.1362	1.990
2.1362	2.000
2.1362	2.010
2.1362	2.020
2.1362	2.030
2.1362	2.040
2.1362	2.050
2.1362	2.061
2.1362	2.071
2.1362	2.081
2.1362	2.092
2.1362	2.102
2.1362	2.113
2.1362	2.123
2.1362	2.134
2.1362	2.145
2.1362	2.155
2.1362	2.166
2.1362	2.177
2.1362	2.188
2.1362	2.199
2.1362	2.210
2.1362	2.221
2.1362	2.232
2.1362	2.243
2.1362	2.254
2.1362	2.266
2.1362	2.277
1.6540	2.288
1.6540	2.334
1.6540	2.381
1.6540	2.428
1.6540	2.477
1.6540	2.526
1.6540	2.577
1.6540	2.628
1.6540	2.681
1.6540	2.735
1.6540	2.789
1.6540	2.845
1.6540	2.902
1.6540	2.960
1.6540	3.019
1.6540	3.080
1.6540	3.141
1.6540	3.204
1.5095	3.268
1.3581	3.285
1.3581	3.301
1.3581	3.317
1.3581	3.334
1.3581	3.351
1.3581	3.367
1.3581	3.384
1.3581	3.401
1.3581	3.418
1.3581	3.435
1.3581	3.453
1.3581	3.470
1.3581	3.487
1.3581	3.505
1.3581	3.522
1.3581	3.540
1.3581	3.557
1.3581	3.575
1.3581	3.593
1.3581	3.611
1.3581	3.629
1.3581	3.647
1.3581	3.665
1.3581	3.684
1.3581	3.702
1.3581	3.721
1.3581	3.739
1.3581	3.758
1.3581	3.777
