d/s=0.500001	
2.1555	0.200
2.1555	0.210
2.1555	0.221
2.1555	0.232
2.1555	0.243
2.1555	0.255
2.1555	0.268
2.1555	0.281
2.1555	0.295
2.1555	0.310
2.1555	0.326
2.1555	0.342
2.1555	0.359
2.1555	0.377
2.1555	0.396
2.1555	0.416
2.1555	0.437
2.1555	0.458
2.1555	0.481
2.1555	0.505
2.1555	0.531
2.1555	0.557
2.1555	0.585
2.1555	0.614
2.1555	0.645
2.1555	0.677
2.1555	0.711
2.1555	0.747
2.1555	0.784
2.1555	0.823
2.1555	0.864
2.1555	0.908
2.1555	0.953
2.1555	1.001
2.1555	1.051
2.1555	1.103
2.1555	1.158
2.1555	1.216


d/s=0.51	
2.1362	0.200
2.1362	0.210
2.1362	0.221
2.1362	0.232
2.1362	0.243
2.1362	0.255
2.1362	0.268
2.1362	0.281
2.1362	0.295
2.1362	0.310
2.1362	0.326
2.1362	0.342
2.1362	0.359
2.1362	0.377
2.1362	0.396
2.1362	0.416
2.1362	0.437
2.1362	0.458
2.1362	0.481
2.1362	0.505
2.1362	0.531
2.1362	0.557
2.1362	0.585
2.1362	0.614
2.1362	0.645
2.1362	0.677
2.1362	0.711
2.1362	0.747
2.1362	0.784
2.1362	0.823
2.1362	0.864
2.1362	0.908


d/s=0.55	
2.0115	0.200
2.0115	0.210
2.0115	0.221
2.0115	0.232
2.0115	0.243
2.0115	0.255
2.0115	0.268
2.0115	0.281
2.0115	0.295
2.0115	0.310
2.0115	0.326
2.0115	0.342
2.0115	0.359
2.0115	0.377
2.0115	0.396
2.0115	0.416
2.0115	0.437
2.0115	0.458
2.0115	0.481
2.0115	0.505
2.0115	0.531
2.0115	0.557
2.0115	0.585
2.0115	0.614
2.0115	0.645
2.0115	0.677
2.0115	0.711
2.0115	0.747
2.0115	0.784
2.0115	0.823


d/s=0.6	
2.0123	0.200
2.0123	0.210
2.0123	0.221
2.0123	0.232
2.0123	0.243
2.0123	0.255
2.0123	0.268
2.0123	0.281
2.0123	0.295
2.0123	0.310
2.0123	0.326
2.0123	0.342
2.0123	0.359
2.0123	0.377
2.0123	0.396
2.0123	0.416
2.0123	0.437
2.0123	0.458
2.0123	0.481
2.0123	0.505
2.0123	0.531
2.0123	0.557
2.0123	0.585
2.0123	0.614
2.0123	0.645
2.0123	0.677


d/s=0.(6)	
2.0875	0.200
2.0875	0.210
2.0875	0.221
2.0875	0.232
2.0875	0.243
2.0875	0.255
2.0875	0.268
2.0875	0.281
2.0875	0.295
2.0875	0.310
2.0875	0.326
2.0875	0.342
2.0875	0.359
2.0875	0.377
2.0875	0.396
2.0875	0.416
2.0875	0.437
2.0875	0.458
2.0875	0.481
2.0875	0.505


d/s=0.8	
1.8193	0.200
1.8193	0.210
1.8193	0.221
1.8193	0.232
1.8193	0.243
1.8193	0.255
1.8193	0.268
1.8193	0.281
1.8193	0.295
1.8193	0.310
1.8193	0.326
1.8193	0.342
1.8193	0.359
1.8193	0.377
1.8193	0.396
1.8193	0.416
1.8193	0.437
1.8193	0.458
1.8193	0.481
1.8193	0.505
1.8193	0.531
1.8193	0.557
1.8193	0.585
1.8193	0.614
1.8193	0.645
1.8193	0.677


d/s=1.2
1.7845	0.050
1.7845	0.053
1.7845	0.055
1.7845	0.058
1.7845	0.061
1.7845	0.064
1.7845	0.067
1.7845	0.070
1.7845	0.074
1.7845	0.078
1.7845	0.081
1.7845	0.086
1.7845	0.090
1.7845	0.094
1.7845	0.099
1.7845	0.104
1.7845	0.109
1.7845	0.115
1.7845	0.120
1.7845	0.126
1.7845	0.133
1.7845	0.139
1.7845	0.146
1.7845	0.154
1.7845	0.161
1.7845	0.169
1.7845	0.178
1.7845	0.187
1.7845	0.196
1.7845	0.206
1.7845	0.216
1.7845	0.227
1.7845	0.238
1.7845	0.250
1.7845	0.263
1.7845	0.276
1.7845	0.290
1.7845	0.304
1.7845	0.319
1.7845	0.335
1.7845	0.352
1.7845	0.370
1.7845	0.388
1.7845	0.407
1.7845	0.428


d/s=1.5
1.7283	0.050
1.7283	0.053
1.7283	0.055
1.7283	0.058
1.7283	0.061
1.7283	0.064
1.7283	0.067
1.7283	0.070
1.7283	0.074
1.7283	0.078
1.7283	0.081
1.7283	0.086
1.7283	0.090
1.7283	0.094
1.7283	0.099
1.7283	0.104
1.7283	0.109
1.7283	0.115
1.7283	0.120
1.7283	0.126
1.7283	0.133
1.7283	0.139
1.7283	0.146
1.7283	0.154
1.7283	0.161
1.7283	0.169
1.7283	0.178
1.7283	0.187
1.7283	0.196
1.7283	0.206
1.7283	0.216
1.7283	0.227
1.7283	0.238
1.7283	0.250
1.7283	0.263
1.7283	0.276
1.7283	0.290
1.7283	0.304
1.7283	0.319
1.7283	0.335
1.7283	0.352
1.7283	0.370


d/s=2.0
1.6470	0.050
1.6470	0.053
1.6470	0.055
1.6470	0.058
1.6470	0.061
1.6470	0.064
1.6470	0.067
1.6470	0.070
1.6470	0.074
1.6470	0.078
1.6470	0.081
1.6470	0.086
1.6470	0.090
1.6470	0.094
1.6470	0.099
1.6470	0.104
1.6470	0.109
1.6470	0.115
1.6470	0.120
1.6470	0.126
1.6470	0.133
1.6470	0.139
1.6470	0.146
1.6470	0.154
1.6470	0.161
1.6470	0.169
1.6470	0.178
1.6470	0.187
1.6470	0.196
1.6470	0.206
1.6470	0.216
1.6470	0.227
1.6470	0.238
1.6470	0.250
1.6470	0.263
1.6470	0.276
1.6470	0.290
1.6470	0.304
1.6470	0.319
